location_id,lat,lon,traffic_volume,traffic_source,distance_to_nearest_substation_m,charger_count_nearby,road_density,ev_penetration_proxy
390,53.325288,-6.317859,980.26,DCC_2024_2025,210.9,0,30,0.049
391,53.314665,-6.246329,0.0,DCC_2024_2025,91.4,0,9,0.049
394,53.306987,-6.283729,932.81,DCC_2024_2025,167.3,0,35,0.049
395,53.325978,-6.316274,1303.78,DCC_2024_2025,96.4,0,30,0.049
396,53.343479,-6.288372,237.15,DCC_2024_2025,40.7,1,120,0.049
399,53.343649,-6.284914,814.57,DCC_2024_2025,99.7,1,121,0.049
402,53.339968,-6.260512,64.98,DCC_2024_2025,63.6,0,117,0.049
403,53.34937,-6.254029,1921.72,DCC_2024_2025,45.2,1,207,0.049
404,53.34775,-6.29186,783.93,DCC_2024_2025,35.7,3,79,0.049
405,53.367454,-6.272099,1379.14,DCC_2024_2025,129.8,1,54,0.049
408,53.361469,-6.290767,644.86,DCC_2024_2025,87.7,0,44,0.049
410,53.328254,-6.3368,1130.18,DCC_2024_2025,129.7,0,26,0.049
411,53.317715,-6.209884,715.37,DCC_2024_2025,48.5,0,37,0.049
412,53.34228,-6.346188,0.0,DCC_2024_2025,92.4,0,16,0.049
416,53.355904,-6.261015,351.98,DCC_2024_2025,54.7,2,128,0.049
418,53.347297,-6.268342,142.99,DCC_2024_2025,13.7,1,113,0.049
419,53.350149,-6.266878,887.73,DCC_2024_2025,51.3,1,123,0.049
420,53.346942,-6.291448,1265.14,DCC_2024_2025,102.1,2,117,0.049
421,53.339014,-6.256616,561.04,DCC_2024_2025,90.3,2,107,0.049
422,53.361587,-6.298221,1160.57,DCC_2024_2025,102.9,1,31,0.049
423,53.338639,-6.299716,536.91,DCC_2024_2025,113.6,0,36,0.049
428,53.370073,-6.248101,384.07,DCC_2024_2025,24.5,0,12,0.049
429,53.358905,-6.281625,0.0,DCC_2024_2025,101.9,0,27,0.049
430,53.382539,-6.276368,409.35,DCC_2024_2025,118.6,0,7,0.049
437,53.312129,-6.282596,0.0,DCC_2024_2025,29.5,0,22,0.049
438,53.352377,-6.283848,636.56,DCC_2024_2025,84.2,1,27,0.049
439,53.345732,-6.248428,558.55,DCC_2024_2025,51.3,1,187,0.049
441,53.316029,-6.205167,865.79,DCC_2024_2025,56.9,0,25,0.049
443,53.363169,-6.221922,959.98,DCC_2024_2025,168.4,1,29,0.049
445,53.357895,-6.234192,743.92,DCC_2024_2025,28.7,0,33,0.049
447,53.39853,-6.307075,918.26,DCC_2024_2025,56.5,0,50,0.049
448,53.322833,-6.237902,0.01,DCC_2024_2025,100.5,1,22,0.049
454,53.342175,-6.25455,502.1,DCC_2024_2025,89.5,1,151,0.049
455,53.363481,-6.30392,0.0,DCC_2024_2025,15.3,1,33,0.049
456,53.391514,-6.194901,1230.8,DCC_2024_2025,141.2,0,28,0.049
457,53.386999,-6.147565,0.0,DCC_2024_2025,66.4,0,6,0.049
458,53.375806,-6.286491,961.68,DCC_2024_2025,143.5,0,34,0.049
459,53.372624,-6.283616,1025.93,DCC_2024_2025,96.6,0,20,0.049
462,53.338799,-6.239191,1001.09,DCC_2024_2025,68.7,2,76,0.049
464,53.314823,-6.296007,0.0,DCC_2024_2025,154.0,0,16,0.049
465,53.33824,-6.247718,534.23,DCC_2024_2025,85.4,4,96,0.049
467,53.396867,-6.187126,637.18,DCC_2024_2025,141.7,0,34,0.049
468,53.396273,-6.162563,932.48,DCC_2024_2025,77.2,0,23,0.049
470,53.368239,-6.317839,1509.91,DCC_2024_2025,97.9,0,6,0.049
472,53.345381,-6.379892,567.97,DCC_2024_2025,87.3,0,23,0.049
473,53.310125,-6.302911,57.37,DCC_2024_2025,126.7,0,24,0.049
476,53.354983,-6.22922,836.15,DCC_2024_2025,68.5,0,22,0.049
479,53.323409,-6.250035,0.42,DCC_2024_2025,51.4,1,58,0.049
480,53.3248,-6.206972,0.0,DCC_2024_2025,150.9,0,10,0.049
483,53.357604,-6.260029,0.0,DCC_2024_2025,85.0,1,105,0.049
484,53.357886,-6.268684,253.55,DCC_2024_2025,40.1,1,94,0.049
485,53.384088,-6.294061,596.63,DCC_2024_2025,105.1,1,20,0.049
486,53.342496,-6.293686,917.26,DCC_2024_2025,47.8,1,58,0.049
487,53.329261,-6.334448,1047.05,DCC_2024_2025,106.8,0,13,0.049
488,53.342162,-6.351317,535.04,DCC_2024_2025,79.0,0,15,0.049
489,53.356098,-6.287815,524.23,DCC_2024_2025,53.3,1,25,0.049
490,53.310349,-6.281773,309.34,DCC_2024_2025,50.2,0,26,0.049
492,53.36811,-6.212068,684.71,DCC_2024_2025,29.0,1,13,0.049
493,53.385667,-6.228942,765.46,DCC_2024_2025,79.2,0,10,0.049
494,53.382361,-6.149561,687.63,DCC_2024_2025,75.6,0,9,0.049
